id,IATA,en-GB,latitude,longitude,vibes
129054483,ADC,Andakombe,-7.133333,145.733333,"{""weather"": 1, ""safety"": 1}"
128668203,ADD,Addis Ababa,8.977778,38.798056,"{""nightlife_and_entertainment"": ""1"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""1"", ""outdoor_adventures"": ""1"", ""safety"": 1, ""weather"": 1}"
95673713,ADE,Aden,12.827778,45.030556,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
128668313,ADF,Adiyaman,37.731369,38.468936,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129055246,ADG,Adrian,41.86921,-84.07467,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129055890,ADH,Aldan,58.6,125.4,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129053026,ADI,Arandis,-22.4,15.0,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129051955,ADJ,Amman Civil - Marka,31.95,35.983333,"{""nightlife_and_entertainment"": ""1"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""1"", ""great_food"": ""1"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
128668204,ADK,Adak Island,51.882778,-176.644722,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
104120231,ADL,Adelaide,-34.948333,138.534722,"{""nightlife_and_entertainment"": ""0"", ""underrated_destinations"": ""1"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""1"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
129056447,ADM,Ardmore Municipal Arpt,34.303056,-97.019444,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129052412,ADN,Andes,5.666667,-75.933333,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
129054811,ADO,Andamooka,-31.016667,137.15,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
136218710,ADP,Gal Oya,7.336944,81.630278,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
128668048,ADQ,Kodiak,57.754167,-152.483333,"{""weather"": 1, ""safety"": 1}"
129057723,ADR,Andrews,33.45,-79.566667,"{""safety"": 1, ""weather"": 1}"
129057411,ADT,Ada,34.8,-96.666667,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
128668205,ADU,Ardabil,38.25,48.3,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129055880,ADV,Andover,51.216667,-1.466667,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129053431,ADW,Camp Springs Andrews AFB,38.816667,-76.866667,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129056814,ADY,Alldays,-22.666667,29.05,"{""safety"": 1, ""weather"": 1}"
128668187,ADZ,San Andres Island,12.583333,-81.7,"{""nightlife_and_entertainment"": ""0"", ""underrated_destinations"": ""0"", ""beach"": ""1"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
129054482,AEA,Abemama,0.483333,173.85,"{""weather"": 1, ""safety"": 1}"
128668206,AEB,Baise,23.7172,106.9506,"{""weather"": 1, ""safety"": 1}"
129055245,AED,Aleneva,58.033333,-152.9,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
128667329,AEG,Aek Godang,1.400235,99.430276,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
129053025,AEH,Abeche,13.851389,20.850833,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129056446,AEI,Algeciras,36.183333,-5.45,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129052411,AEJ,Ahmed Al Jaber,38.823848,-106.125993,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129053850,AEK,Aseki,-7.366667,146.283333,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129055879,AEL,Albert Lea,43.68135,-93.36743,"{""safety"": 1, ""weather"": 1}"
160928620,AEM,Amgu,45.841667,137.678333,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129054810,AEO,Aioun El Atrouss,16.709167,-9.635556,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
128668190,AEP,Buenos Aires Jorge Newbery,-34.558889,-58.415833,"{""nightlife_and_entertainment"": ""1"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""1"", ""great_food"": ""1"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
114095908,AER,Sochi,43.45,39.9333,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
128667590,AES,Aalesund Vigra,62.5625,6.105278,"{""weather"": 1, ""safety"": 1}"
128668208,AET,Allakaket,66.561667,-152.658333,"{""safety"": 1, ""weather"": 1}"
129057722,AEU,Abu Musa,25.8875,55.041667,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
95674403,AEX,Alexandria Internation,31.333333,-92.55,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
104120368,AEY,Akureyri,65.666667,-18.166667,"{""nightlife_and_entertainment"": ""0"", ""underrated_destinations"": ""1"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
128668472,AFA,San Rafael,-34.589167,-68.400556,"{""weather"": 1, ""safety"": 1}"
129057410,AFD,Port Alfred,-33.583333,26.883333,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129052975,AFF,Colorado Springs USAF Academy,38.833333,-104.7,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
129056813,AFI,Amalfi,6.916667,-75.066667,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
128668210,AFL,Alta Floresta,-10.0,-56.0,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129054481,AFN,Jaffrey,42.833333,-72.066667,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129055244,AFO,Afton,42.7001,-110.943031,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129053847,AFR,Afore,-9.133333,148.383333,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
128668211,AFS,Zarafshan,41.6136,64.2331,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129054985,AFT,Afutara,-9.2,160.85,"{""weather"": 1, ""safety"": 1}"
129056445,AFW,Dallas Fort Worth Alliance,32.986667,-97.316667,"{""nightlife_and_entertainment"": ""1"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
129052410,AFY,Afyon,38.733333,30.6,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
128668186,AFZ,Sabzevar,36.168056,57.595278,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
95673640,AGA,Agadir,30.325619,-9.412708,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
129051954,AGB,Augsburg,48.425278,10.931667,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129055878,AGC,Pittsburgh Allegheny County,40.354722,-79.93,"{""nightlife_and_entertainment"": ""0"", ""underrated_destinations"": ""1"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
129054809,AGD,Anggi,-1.383333,133.866667,"{""weather"": 1, ""safety"": 1}"
129057721,AGE,Wangerooge,53.783333,7.916667,"{""safety"": 1, ""weather"": 1}"
128668212,AGF,Agen,44.173611,0.598611,"{""weather"": 1, ""safety"": 1}"
129053846,AGG,Angoram,-4.168611,144.073889,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
95673521,AGH,Angelholm Helsingborg,56.293056,12.8625,"{""weather"": 1, ""safety"": 1}"
129057409,AGI,Wageningen,5.833333,-56.833333,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129052974,AGJ,Aguni,26.589722,127.238056,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129056812,AGK,Kagua,-6.403333,143.846667,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129054480,AGL,Wanigela,-9.340278,149.155278,"{""weather"": 1, ""safety"": 1}"
128667328,AGM,Tasiilaq,65.6,-37.683333,"{""weather"": 1, ""safety"": 1}"
128668213,AGN,Angoon,57.503889,-134.583333,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129053023,AGO,Magnolia,33.22791,-93.21683,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
95565095,AGP,Malaga,36.6765707,-4.4940091,"{""nightlife_and_entertainment"": ""1"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""1"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
129056444,AGQ,Agrinion,38.604167,21.351944,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
95673463,AGR,Agra,27.158333,77.962778,"{""nightlife_and_entertainment"": ""0"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""1"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
95674191,AGS,Augusta Bush Field,33.366389,-81.966944,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
128668214,AGT,Ciudad del Este,-25.461415,-54.843611,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
95673515,AGU,Aguascalientes,21.7,-102.316667,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129052409,AGV,Acarigua,9.552222,-69.233333,"{""safety"": 1, ""weather"": 1}"
129055877,AGW,Agnew,-12.15,142.15,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
128668471,AGX,Agatti Island,10.828351031747044,72.17931386441794,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
129057720,AGZ,Aggeneys,-29.28191,18.81366,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
222500228,AHA,Maa Mahamaya,22.995216477055823,83.20084286023938,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
128668215,AHB,Abha,18.233333,42.65,"{""nightlife_and_entertainment"": ""0"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""1"", ""safety"": 1, ""weather"": 1}"
129057408,AHC,Herlong,40.15,-120.133333,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
129052973,AHD,Ardmore Downtown,34.166667,-97.133333,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
128668311,AHE,Ahe,-14.428056,-146.256944,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129056811,AHF,Arapahoe,40.3,-99.9,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
129054479,AHH,Amery,45.28107,-92.37519,"{""safety"": 1, ""weather"": 1}"
129055242,AHI,Amahai,-3.333333,128.916667,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
140000526,AHJ,Aba/Hongyuan,32.529167,102.356944,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129053022,AHL,Aishalton,2.483333,-59.316667,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
156398376,AHM,Ashland (Oregon),42.189404,-122.65686,"{""weather"": 1, ""safety"": 1}"
95674395,AHN,Athens Ben Epps,33.9483,-83.3269,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
95674177,AHO,Alghero Sardinia,40.630556,8.288889,"{""nightlife_and_entertainment"": ""0"", ""underrated_destinations"": ""1"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
129056443,AHS,Ahuas,15.441667,-84.425,"{""weather"": 1, ""safety"": 1}"
129056808,AHT,Amchitka,51.5,179.0,"{""weather"": 1, ""safety"": 1}"
128668046,AHU,Al Hoceima Charif Idr,35.179722,-3.836944,"{""safety"": 1, ""weather"": 1}"
129055876,AHY,Ambatolahy,-20.016667,45.533333,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
129054807,AHZ,Alpe D'Huez,45.083333,6.083333,"{""safety"": 1, ""weather"": 1}"
128668047,AIA,Alliance,42.050567,-102.806625,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129057719,AIB,Anita Bay,56.233333,-132.383333,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
129052408,AIC,Ailinglapalap,7.278821,168.825497,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129053796,AID,Anderson,40.166667,-85.683333,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129057407,AIE,Aiome,-5.166667,144.666667,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
129052972,AIF,Assis,-22.666667,-50.416667,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
129056810,AIG,Yalinga,6.516667,23.25,"{""weather"": 1, ""safety"": 1}"
129054478,AIH,Aiambak,-7.348611,141.266389,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129055241,AII,Alisabieh,11.15,42.716667,"{""weather"": 1, ""safety"": 1}"
129053021,AIK,Aiken,33.64931,-81.68427,"{""weather"": 1, ""safety"": 1}"
129056442,AIL,Ailigandi,9.25,-78.083333,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129052407,AIM,Ailuk Island,10.2,169.983333,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
128667589,AIN,Wainwright,70.633333,-160.033333,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129055875,AIO,Atlantic,41.4,-95.016667,"{""safety"": 1, ""weather"": 1}"
179044476,AIP,Adampur,31.433056,75.760556,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129057718,AIR,Aripuana,-10.25,-59.383333,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129053795,AIS,Arorae Island,-2.65,176.833333,"{""weather"": 1, ""safety"": 1}"
128668185,AIT,Aitutaki,-18.828377800837607,-159.7673211074827,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
128668218,AIU,Enua,-19.96748366867277,-158.12133562774994,"{""safety"": 1, ""weather"": 1}"
129057406,AIV,Aliceville,33.133333,-88.15,"{""weather"": 1, ""safety"": 1}"
129052971,AIW,Ai-Ais,-27.983333,17.583333,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
218437830,AIY,Araçuaí,-16.851020190604913,-42.04643863068214,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
129056809,AIZ,Kaiser / Lake Ozark,38.098333,-92.547222,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
95674358,AJA,Ajaccio,41.924167,8.803056,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
128667327,AJF,Jouf,29.78513,40.10001,"{""weather"": 1, ""safety"": 1}"
128668219,AJI,Agri,39.65,43.025,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
129054477,AJJ,Akjoujt,19.730556,-14.374444,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129055240,AJK,Araak,34.133333,49.833333,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
128668124,AJL,Aizawl,23.75,92.75,"{""safety"": 1, ""weather"": 1}"
129054662,AJN,Ouani,-12.131051438214678,44.43007186501264,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129053020,AJO,Aljouf,15.716667,44.25,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
95674401,AJR,Arvidsjaur,65.591389,19.285556,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129056441,AJS,Abreojos,26.833333,-113.666667,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
95673748,AJU,Aracaju,-10.983333,-37.05,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129052406,AJY,Agades,16.964167,7.993056,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
129055874,AKA,Ankang,32.708354,108.935409,"{""weather"": 1, ""safety"": 1}"
128668195,AKB,Atka,52.217222,-174.200833,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129054805,AKC,Akron International,41.04,-81.467778,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129057717,AKD,Akola,20.666667,77.083333,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129053794,AKE,Akieni,-1.172222,13.916667,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
128668312,AKF,Kufrah,24.2,23.333333,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
129057405,AKG,Anguganak,-3.633333,142.016667,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
129052970,AKH,Al Kharj,24.063333,47.580556,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
128668220,AKI,Akiak,60.905556,-161.223333,"{""safety"": 1, ""weather"": 1}"
128668470,AKJ,Asahikawa,43.666667,142.45,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129057421,AKK,Akhiok,56.944444,-154.166667,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
95673805,AKL,Auckland International,-37.0089158,174.7862589,"{""nightlife_and_entertainment"": ""1"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""1"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
